1,1,4,14
2,2,4,14
3,3,4,13
4,4,4,12
5,5,4,11
6,6,4,10
7,7,4,9
8,8,4,8
9,9,4,18
10,10,4,19
11,11,4,20
12,12,4,21
13,13,4,22
14,14,4,23
15,15,4,24
16,16,4,25
17,17,4,7
18,18,4,6
19,19,4,5
20,20,4,26
21,21,4,27
22,22,6,14
23,23,6,13
24,24,6,12
25,25,6,11
26,26,6,10
27,27,6,9
28,28,6,8
29,29,6,7
30,30,6,6
31,31,6,5
32,32,6,18
33,33,6,19
34,34,6,20
35,35,6,21
36,36,6,22
37,37,6,23
38,38,6,24
39,39,6,25
40,40,6,26
41,40,6,27
42,41,8,14
43,42,8,13
44,43,8,12
45,44,8,11
46,45,8,10
47,46,8,9
48,47,8,8
49,48,8,7
50,49,8,6
51,50,8,5
52,51,8,18
53,52,8,19
54,53,8,18
55,54,8,19
56,55,8,18
57,56,8,19
58,57,8,18
59,58,8,19
60,59,8,18
61,60,8,19
62,61,10,14
63,62,10,13
64,63,10,12
65,64,10,11
66,65,10,10
67,66,10,9
68,67,10,8
69,68,10,7
70,69,10,6
71,70,10,5
72,71,10,18
73,72,10,19
74,73,10,18
75,74,10,19
76,75,10,18
77,76,10,19
78,77,10,18
79,78,10,19
80,79,10,18
81,80,10,19
82,81,12,14
83,82,12,13
84,83,12,12
85,84,12,11
86,85,12,10
87,86,12,9
88,87,12,8
89,88,12,7
90,89,12,6
91,90,12,5
92,91,12,18
93,92,12,19
94,93,12,18
95,94,12,19
96,95,12,18
97,96,12,19
98,97,12,18
99,98,12,19
100,99,12,18
101,100,12,19
102,101,14,14
103,102,14,13
104,103,14,12
105,104,14,11
106,105,14,10
107,106,14,9
108,107,14,8
109,108,14,7
110,109,14,6
111,110,14,5
112,111,14,18
113,112,14,19
114,113,14,18
115,114,14,19
116,115,14,18
117,116,14,19
118,117,14,18
119,118,14,19
120,119,14,18
121,120,14,19
122,121,16,14
123,122,16,13
124,123,16,12
125,124,16,11
126,125,16,10
127,126,16,9
128,127,16,8
129,128,16,7
130,129,16,6
131,130,16,5
132,131,16,18
133,132,16,19
134,133,16,18
135,134,16,19
136,135,16,18
137,136,16,19
138,137,16,18
139,138,16,19
140,139,16,18
141,140,16,19
142,141,18,14
143,142,18,13
144,143,18,12
145,144,18,11
146,145,18,10
147,146,18,9
148,147,18,8
149,148,18,7
150,149,18,6
151,150,18,5
152,151,18,18
153,152,18,19
154,153,18,18
155,154,18,19
156,155,18,18
157,156,18,19
158,157,18,18
159,158,18,19
160,159,18,18
161,160,18,19
162,161,20,14
163,162,20,13
164,163,20,12
165,164,20,11
166,165,20,10
167,166,20,9
168,167,20,8
169,168,20,7
170,169,20,6
171,170,20,5
172,171,20,18
173,172,20,19
174,173,20,18
175,174,20,19
176,175,20,18
177,176,20,19
178,177,20,18
179,178,20,19
180,179,20,18
181,180,20,19
182,181,22,14
183,182,22,13
184,183,22,12
185,184,22,11
186,185,22,10
187,186,22,9
188,187,22,8
189,188,22,7
190,189,22,6
191,190,22,5
192,191,22,18
193,192,22,19
194,193,22,18
195,194,22,19
196,195,22,18
197,196,22,19
198,197,22,18
199,198,22,19
200,199,22,18
201,200,22,19
202,201,24,14
203,202,24,13
204,203,24,12
205,204,24,11
206,205,24,10
207,206,24,9
208,207,24,8
209,208,24,7
210,209,24,6
211,210,24,5
212,211,24,18
213,212,24,19
214,213,24,18
215,214,24,19
216,215,24,18
217,216,24,19
218,217,24,18
219,218,24,19
220,219,24,18
221,220,24,19
222,221,26,14
223,222,26,13
224,223,26,12
225,224,26,11
226,225,26,10
227,226,26,9
228,227,26,8
229,228,26,7
230,229,26,6
231,230,26,5
232,231,26,18
233,232,26,19
234,233,26,18
235,234,26,19
236,235,26,18
237,236,26,19
238,237,26,18
239,238,26,19
240,239,26,18
241,240,26,19
